Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
"Furnished 4,500 ft² Office with Service Charge Included at Ring Rd.","Ring Rd., Westlands Area, Westlands",,,4500 ft²,04/06/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-4500-ft2-office-for-rent-westlands-area-3690239,commercial-property,rent,"KSh 793,440
 / month"
Furnished Office with Service Charge Included at Kilimani Road,"Kilimani Road, Kilimani",,,,17/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-office-for-rent-kilimani-26-3481125,commercial-property,rent,"KSh 49,000
 / month"
Furnished 30 m² Office with Service Charge Included at Po Box 66217,"Purshottam Place, Chiromo Road, Po Box 66217, Kitisuru, Westlands",,,30 m²,11/04/2024,"['Aircon', 'Alarm', 'CCTV', 'Furnished', 'Service Charge Included']",/listings/furnished-30-m2-office-for-rent-kitisuru-2-3382316,commercial-property,rent,"KSh 29,829
 / month"
Office with Backup Generator at James Gichuru Road,"James Gichuru Road, Lavington",,,,24/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Lift/Elevator', 'Parking']",/listings/office-for-rent-lavington-3691282,commercial-property,rent,"KSh 607,000
 / month"
Commercial Property in Kilimani,Kilimani,,,,24/07/2024,[],/listings/commercial-property-for-rent-kilimani-3709282,commercial-property,rent,"KSh 150,000
 / month"
Commercial Property in Lavington,Lavington,,,,24/07/2024,[],/listings/commercial-property-for-rent-lavington-3709277,commercial-property,rent,"KSh 400,000
 / month"
Commercial Property in Lavington,Lavington,,,,24/07/2024,[],/listings/commercial-property-for-rent-lavington-3709276,commercial-property,rent,"KSh 500,000
 / month"
Office with Parking in Parklands,"Parklands, Westlands",,,,24/07/2024,['Parking'],/listings/office-for-rent-parklands-3709250,commercial-property,rent,"KSh 202,440
 / month"
Office with Lift in Parklands,"Parklands, Westlands",,,,24/07/2024,"['CCTV', 'Lift/Elevator', 'Parking']",/listings/office-for-rent-parklands-3709247,commercial-property,rent,"KSh 2,775,000
 / month"
Office in Parklands,"Parklands, Westlands",,,,24/07/2024,[],/listings/office-for-rent-parklands-3709067,commercial-property,rent,"KSh 120
 / month"
