Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
4 Bed Townhouse with En Suite in Lavington,Lavington,4,6,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-townhouse-for-sale-lavington-3710807,houses,sale,"KSh 60,000,000"
4 Bed House with En Suite at Lavington,Lavington,4,4,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-house-for-sale-lavington-3710801,houses,sale,"KSh 78,000,000"
5 Bed Townhouse with En Suite at Karen,Karen,5,5,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'Bus Stop', 'CCTV', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-townhouse-for-sale-karen-3710798,houses,sale,"KSh 84,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,4,4,,31/07/2024,"['Alarm', 'BBQ', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-sale-kiambu-road-3710781,houses,sale,"KSh 33,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,4,4,,31/07/2024,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-sale-kiambu-road-3710776,houses,sale,"KSh 40,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,4,4,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-sale-kiambu-road-3710772,houses,sale,"KSh 55,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,4,4,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-sale-kiambu-road-3710767,houses,sale,"KSh 30,000,000"
5 Bed Villa with En Suite in Lavington,Lavington,5,5,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-villa-for-sale-lavington-3710760,houses,sale,"KSh 175,000,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,5,399 m²,13/06/2024,"['BBQ', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-sale-kitisuru-3700074,houses,sale,"KSh 75,000,000"
4 Bed House with En Suite in Ruiru,Ruiru,4,5,3200 ft²,31/07/2024,"['Alarm', 'BBQ', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Serviced', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-house-for-sale-ruiru-3710753,houses,sale,"KSh 15,000,000"
5 Bed Townhouse with En Suite at Muthangari Area,"Muthangari Area, Lavington",5,6,480 m²,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-townhouse-for-sale-lavington-3710749,houses,sale,"KSh 65,000,000"
4 Bed House with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",4,4,,30/07/2024,"['Alarm', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/4-bedroom-house-for-sale-lavington-3710747,houses,sale,"KSh 110,000,000"
6 Bed Villa with En Suite at Olkeri,"Saina Ole mpoke, Ngong, Olkeri",6,6,5600 ft²,20/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/furnished-6-bedroom-villa-for-sale-ngong-3692384,houses,sale,"KSh 52,000,000"
3 Bed House with En Suite in Malaa,"Malaa, Kamulu Joska Malaa",3,2,135 m²,18/07/2024,"['Borehole', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'Scenic View', 'School', 'Serviced', 'Shopping Centre', 'Staff Quarters']",/listings/3-bedroom-house-for-sale-malaa-3707599,houses,sale,"KSh 6,500,000"
