Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666628,commercial-property,sale,"KSh 15,000,000"
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666626,commercial-property,sale,"KSh 24,000,000"
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666624,commercial-property,sale,"KSh 29,000,000"
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666623,commercial-property,sale,"KSh 35,167,500"
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666621,commercial-property,sale,"KSh 64,935,000"
Commercial Property in Kilimani,Kilimani,,,,18/03/2024,[],/listings/commercial-property-for-sale-kilimani-3666620,commercial-property,sale,"KSh 54,833,385"
Office in Kilimani,Kilimani,,,,18/03/2024,[],/listings/office-for-sale-kilimani-3666619,commercial-property,sale,"KSh 44,172,000"
Commercial Property in Kilimani,Kilimani,,,,18/03/2024,[],/listings/commercial-property-for-sale-kilimani-3666503,commercial-property,sale,"KSh 200,000,000"
Furnished Commercial Property with Service Charge Included in Nyali Area,"Nyali Area, Nyali",,,,22/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-commercial-property-for-sale-nyali-area-3665723,commercial-property,sale,"KSh 350,000,000"
Furnished 2 ac Commercial Property with Service Charge Included at Nyali,"Nyali, Nyali Area",,,2 ac,01/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-2-ac-commercial-property-for-sale-nyali-area-3665699,commercial-property,sale,"KSh 345,000,000"
700 ft² Office with Backup Generator at Ngong Road,"ngong road, Karen",,,700 ft²,28/05/2024,"['Alarm', 'Backup Generator', 'Electric Fence', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking']",/listings/700-ft2-office-for-sale-karen-3663939,commercial-property,sale,"KSh 11,000"
