Location,Bedrooms,Bathrooms,Date,Amenities,Property Type,Payment_type,Price,Sub_county
"76, Manyani East, Lavington",4.0,5.0,2024-07-31,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,rent,380000,Dagoretti North
Lavington,4.0,4.0,2024-07-31,"['BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",houses,rent,400000,Dagoretti North
Lavington,6.0,6.0,2024-07-31,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,rent,350000,Dagoretti North
"151, Tala rd, Runda, Westlands",5.0,6.0,2024-11-07,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,rent,550000,Westlands
"1, Rosslyn lone tree estate rd, Rosslyn, Westlands",5.0,6.0,2024-07-30,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,rent,4300,Westlands
"Runda, Westlands",5.0,5.0,2024-07-20,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre']",houses,rent,400000,Westlands
"0731J, Along Mombasa Road, Mombasa Road",3.0,4.0,2024-07-31,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",houses,rent,80000,Embakasi South
Lavington,5.0,4.0,2024-07-31,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Gated Community', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,rent,330000,Dagoretti North
Lavington,5.0,5.0,2024-07-31,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,rent,400000,Dagoretti North
"Off Limuru Rd, Muthaiga",2.0,2.0,2024-07-31,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",houses,rent,235000,Westlands
Ridgeways,3.0,3.0,2024-07-31,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,rent,110000,Roysambu
Lavington,5.0,6.0,2024-07-26,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",houses,rent,330000,Dagoretti North
Karen,6.0,7.0,2024-07-26,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']",houses,rent,500000,Langata
"Loresho, Westlands",4.0,4.0,2024-07-31,[],houses,rent,250000,Westlands
Kiambu Road,4.0,5.0,2024-07-31,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,rent,230000,Westlands
"Tigoni, Limuru",2.0,2.0,2024-07-31,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",houses,rent,200000,Westlands
Lavington,5.0,5.0,2024-07-31,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",houses,rent,400000,Dagoretti North
