Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Serviced 4 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",4,4,4000 ft²,17/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gated Community', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/furnished-4-bedroom-apartment-for-rent-parklands-3707222,flats-apartments,rent,"KSh 400,000
 / month"
Serviced 3 Bed Apartment with En Suite in Westlands Area,"Westlands Area, Westlands",3,3,,17/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']",/listings/furnished-3-bedroom-apartment-for-rent-westlands-area-3707201,flats-apartments,rent,"KSh 306,000
 / month"
Serviced 2 Bed Apartment with En Suite in Westlands Area,"Westlands Area, Westlands",2,2,,17/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Swimming Pool', 'Wheelchair Access']",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3707199,flats-apartments,rent,"KSh 306,000
 / month"
Serviced 2 Bed Apartment with En Suite in Westlands Area,"Westlands Area, Westlands",2,2,,29/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Swimming Pool']",/listings/furnished-2-bedroom-apartment-for-rent-westlands-area-3707157,flats-apartments,rent,"KSh 200,000
 / month"
Serviced 2 Bed Apartment with En Suite at Othaya Road,"Othaya Rd, Othaya Road, Kileleshwa",2,2,,16/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/furnished-2-bedroom-apartment-for-rent-kileleshwa-3706914,flats-apartments,rent,"KSh 195,000
 / month"
Furnished 4 Bed Apartment with En Suite in Lavington,Lavington,4,4,,27/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/furnished-4-bedroom-apartment-for-rent-lavington-3707070,flats-apartments,rent,"KSh 400,000
 / month"
3 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",3,3,,13/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-parklands-3706320,flats-apartments,rent,"KSh 100,000
 / month"
3 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",3,3,2000 ft²,13/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-parklands-3706305,flats-apartments,rent,"KSh 100,000
 / month"
Serviced 4 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",4,4,4870 ft²,12/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']",/listings/4-bedroom-apartment-for-rent-parklands-3706205,flats-apartments,rent,"KSh 270,000
 / month"
2 Bed Apartment with En Suite in Parklands,"Parklands, Westlands",2,2,1240 ft²,12/07/2024,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gated Community', 'Hospital', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Wheelchair Access']",/listings/2-bedroom-apartment-for-rent-parklands-3706202,flats-apartments,rent,"KSh 85,000
 / month"
Studio Apartment with En Suite at Off Jkuat Entry Road,"Near JKUAT, Off JKUAT Entry Road, Juja",0,1,,11/07/2024,"['Balcony', 'Bus Stop', 'CCTV', 'En Suite', 'Hospital', 'Pet Friendly', 'School', 'Service Charge Included', 'Shopping Centre']",/listings/studio-apartment-for-rent-juja-3705505,flats-apartments,rent,"KSh 9,000
 / month"
