Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Residential Land in Kilifi,Kilifi,,,,04/05/2024,[],/listings/residential-land-for-sale-kilifi-town-3691034,land,sale,"KSh 48,000,000"
1.5 ac Commercial Land at Roosters Area Fronting Thika Superhighway,"Near Garden City fronting Thika Road, Roosters area fronting Thika superhighway, Thika Road",,,1 ac,09/07/2024,"['Bus Stop', 'Scenic View', 'Shopping Centre']",/listings/15-ac-commercial-land-for-sale-thika-road-3689703,land,sale,"KSh 350,000,000"
76 ac Land at Karen,Karen,,,76 ac,09/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/76-ac-land-for-sale-karen-3668506,land,sale,"KSh 4,560,000,000"
Land in Utawala,Utawala,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-utawala-3690916,land,sale,"KSh 7,000,000"
Land in Isinya,Isinya,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-isinya-3690915,land,sale,"KSh 9,000,000"
Land in Ongata Rongai,Ongata Rongai,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-ongata-rongai-3690910,land,sale,"KSh 9,500,000"
Land in Kitengela,Kitengela,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-kitengela-3690907,land,sale,"KSh 125,000,000"
Land in Kajiado County,Kajiado County,,,,03/05/2024,[],/listings/land-for-sale-kajiado-3690904,land,sale,"KSh 12,000,000"
Land in Isinya,Isinya,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School']",/listings/land-for-sale-isinya-3690900,land,sale,"KSh 10,000,000"
Land in Isinya,Isinya,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School']",/listings/land-for-sale-isinya-3690900,land,sale,"KSh 10,000,000"
Land in Isinya,Isinya,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-isinya-3690899,land,sale,"KSh 2,200,000"
Land in Naivasha,Naivasha,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-naivasha-3690896,land,sale,"KSh 562,000,000"
Land in Karen Hardy,Karen Hardy,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-karen-hardy-3690895,land,sale,"KSh 60,000,000"
Land in Isinya,Isinya,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-isinya-3690892,land,sale,"KSh 4,500,000,000"
Land in Kikuyu Town,"Kikuyu Town, Kikuyu",,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-kikuyu-town-3690888,land,sale,"KSh 105,000,000"
Land in Upper Hill,Upper Hill,,,,03/05/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-upper-hill-3690884,land,sale,"KSh 495,000,000"
"3,200 m² Land in Kilimani",Kilimani,,,3200 m²,03/05/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School']",/listings/3200-m2-land-for-sale-kilimani-9-3431378,land,sale,"KSh 300,000,000"
"4,000 m² Commercial Land in Kilimani",Kilimani,,,4000 m²,03/05/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School']",/listings/4000-m2-commercial-land-for-sale-kilimani-8-3433137,land,sale,"KSh 350,000,000"
"3,200 m² Commercial Land in Kilimani",Kilimani,,,3200 m²,03/05/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Sea View']",/listings/3200-m2-commercial-land-for-sale-kilimani-8-3440496,land,sale,"KSh 270,000,000"
Land in Membley,"Membley, Ruiru",,,,04/07/2024,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']",/listings/land-for-sale-membley-3690825,land,sale,"KSh 8,000,000"
0.5 ac Residential Land at Off Garden Estate Road,"Off Garden Estate Road, Garden Estate, Roysambu",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/05-ac-residential-land-for-sale-garden-estate-130-3562389,land,sale,"KSh 50,000,000"
2.5 ac Commercial Land at Gigiri Suburb,"Gigiri Suburb, Gigiri, Westlands",,,2 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/25-ac-commercial-land-for-sale-gigiri-127-3563191,land,sale,"KSh 900,000,000"
Land at Kigwaru Drive,"Kigwaru Drive, Ruaka",,,,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/land-for-sale-ruaka-121-3573159,land,sale,"KSh 5,000,000"
5 ac Commercial Land in Thika,Thika,,,5 ac,30/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/5-ac-commercial-land-for-sale-thika-129-3573611,land,sale,"KSh 150,000,000"
